               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 139,            0.019954,           0.0067116,           0.0022069,             0.78035,                   1,             0.82069,             0.77304,            0.006169,            0.001684,          0.00020614,           0.0065845,           0.0065845,           0.0065845
                 140,            0.018739,           0.0065175,            0.002041,             0.78332,                   1,             0.82594,             0.76952,           0.0055589,           0.0016397,          0.00016601,           0.0065598,           0.0065598,           0.0065598
                 141,            0.019745,           0.0063776,           0.0025568,              0.7852,                   1,             0.82555,             0.76207,           0.0056578,           0.0017352,          0.00013933,            0.006535,            0.006535,            0.006535
                 142,            0.020421,           0.0066608,           0.0023632,             0.77855,                   1,             0.79458,             0.74969,           0.0053879,           0.0017792,           0.0001617,           0.0065102,           0.0065102,           0.0065102
                 143,            0.019593,           0.0066156,           0.0022051,             0.78132,                   1,             0.82644,             0.78026,           0.0052166,           0.0016043,          0.00010259,           0.0064855,           0.0064855,           0.0064855
                 144,            0.017857,           0.0065343,           0.0010473,             0.77802,                   1,             0.82381,             0.77164,           0.0053234,           0.0016185,          0.00013679,           0.0064608,           0.0064608,           0.0064608
                 145,            0.017722,           0.0062495,           0.0010732,             0.77409,                   1,             0.79023,             0.74806,           0.0051409,           0.0016189,          0.00021722,            0.006436,            0.006436,            0.006436
                 146,            0.019466,           0.0063189,           0.0010895,             0.78065,                   1,              0.8031,             0.75541,           0.0049595,           0.0016332,          0.00022241,           0.0064112,           0.0064112,           0.0064112
                 147,            0.017374,           0.0061651,          0.00078306,             0.77623,                   1,             0.80348,             0.74794,           0.0049958,            0.001661,          0.00018513,           0.0063865,           0.0063865,           0.0063865
                 148,            0.019519,           0.0060944,           0.0011275,             0.77647,                   1,             0.80791,             0.74927,           0.0055155,           0.0016385,          0.00012021,           0.0063618,           0.0063618,           0.0063618
                 149,            0.016815,           0.0063904,           0.0014903,             0.77878,                   1,             0.80936,             0.76046,           0.0047196,           0.0016744,          0.00017817,            0.006337,            0.006337,            0.006337
                 150,            0.016946,           0.0066394,           0.0027402,             0.77817,                   1,             0.79177,             0.73872,           0.0053806,           0.0017224,          0.00028242,           0.0063122,           0.0063122,           0.0063122
                 151,            0.019052,           0.0064208,          0.00096444,             0.77985,                   1,             0.81685,             0.75008,           0.0050253,           0.0016861,          8.9291e-05,           0.0062875,           0.0062875,           0.0062875
